n_users,n_items,n_inter,sparsity,kg_entities,kg_relations,kg_triples,kg_items,cpu_cores,ram_size,is_gpu,model_name,model_type,real_value,predicted_value,abs_error,percentage_error,class
23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,4.0,16.0,0.0,13.0,0.0,0.0011261784382112,0.0119540941294231,0.0108279156912119,961.4742498898146,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,27.40581512451172,1.0,20.0,0.0,0.0114186758021715,0.0072999396011461,0.0041187362010253,36.07017374328219,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,34.0,1.0,0.0045534510547537,0.0116780007599316,0.0071245497051779,156.46483556115217,0
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,14.0,1.0,0.0221564977082574,0.0149127369197944,0.0072437607884629,32.69361829583415,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,10.0,0.0,0.0007763738930177,0.0015231381921368,0.0007467642991191,96.18616826700628,0
6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,12.0,64.0,1.0,33.0,0.0,4.255881072450221e-05,0.0005616736560225,0.000519114845298,1219.758814827848,0
23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,12.0,64.0,1.0,13.0,0.0,3.871514623914284e-05,0.0007034886824677,0.0006647735362285,1717.0890486175456,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,19.0,0.0,0.0032210421999563,0.0113435043146205,0.0081224621146642,252.16875813593643,0
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,7.0,0.0,0.0117515956530632,0.0125474874161824,0.0007958917631192,6.77262719562515,0
6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,27.40581512451172,1.0,3.0,1.0,0.0016808880077835,0.0026471555956668,0.0009662675878833,57.48554236861264,0
23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,4.0,16.0,0.0,18.0,0.0,0.0072798900224974,0.0079063753911596,0.0006264853686622,8.60569825541519,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,24.0,0.0,0.0013414371632985,0.0019586111320448,0.0006171739687463,46.00841438064486,0
