n_users,n_items,n_inter,sparsity,kg_entities,kg_relations,kg_triples,kg_items,cpu_cores,ram_size,is_gpu,model_name,model_type,real_value,predicted_value,abs_error,percentage_error,class
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,27.40581512451172,1.0,6.0,0.0,0.0027870159540074,0.0077897142266701,0.0050026982726627,179.50016631478127,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,9.0,0.0,0.0032210421999563,0.0086273978716832,0.0054063556717269,167.84491900790118,0
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,10.0,0.0,0.0277827587857683,0.0216108145388177,0.0061719442469505,22.21501577486278,0
19841.0,42457.0,900212.0,0.9989313587429705,50665.0,5.0,46827.0,816701.0,4.0,27.40580368041992,1.0,2.0,1.0,0.0154771129904284,0.0198806079447486,0.0044034949543202,28.451656048795982,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,11.0,0.0,0.0086460364043928,0.0137291849300404,0.0050831485256476,58.791662305111814,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,0.0,0.0,0.0037236591835032,0.0128937442513378,0.0091700850678346,246.26542376543483,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,3.0,0.0,0.039491628418431,0.2139105642898242,0.1744189358713932,441.6605312481639,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,1.0,1.0,0.0030457506827599,0.0099641100061806,0.0069183593234207,227.14791997195718,0
50000.0,10000.0,7053774.0,0.985892452,175646.0,31.0,521125.0,10601.0,4.0,27.40580368041992,1.0,0.0,0.0,0.0461818839633063,0.0637063942969669,0.0175245103336606,37.94672029314498,0
6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,27.40581512451172,1.0,4.0,0.0,0.001998107935524,0.0096313986089942,0.0076332906734702,382.0259425308973,0
50000.0,10000.0,7053774.0,0.985892452,175646.0,31.0,521125.0,10601.0,4.0,27.40580368041992,1.0,8.0,1.0,0.2884446531193582,0.1020476105808417,0.1863970425385164,64.62142408352616,0
6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,27.40581512451172,1.0,0.0,0.0,0.0011872896418289,0.012484706798802,0.0112974171569731,951.5300023649312,0
19841.0,42457.0,900212.0,0.9989313587429705,50665.0,5.0,46827.0,816701.0,4.0,27.40580368041992,1.0,0.0,0.0,0.0216764692531886,0.0282625932134906,0.006586123960302,30.38374877095472,0
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,4.0,0.0,0.0117515956530632,0.0110884565132325,0.0006631391398306,5.64297104332164,0
19841.0,42457.0,900212.0,0.9989313587429705,50665.0,5.0,46827.0,816701.0,4.0,27.40580368041992,1.0,3.0,0.0,0.8817400794597952,0.293085936905363,0.588654142554432,66.76050644256475,2
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,3.0,0.0,0.1983365734519973,0.216178297142736,0.0178417236907387,8.99568011093875,0
19841.0,24878.0,218457.0,0.9995574249320202,32907.0,5.0,29822.0,816701.0,4.0,27.40580368041992,1.0,13.0,1.0,0.0045534510547537,0.0129986116642891,0.0084451606095354,185.46725347402,0
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,11.0,0.0,0.016600828537284,0.0191306234500534,0.0025297949127694,15.23896778457603,0
6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,27.40581512451172,1.0,14.0,0.0,0.0056326506480432,0.0101428570291856,0.0045102063811424,80.07253889799304,0
19841.0,42457.0,900212.0,0.9989313587429705,50665.0,5.0,46827.0,816701.0,4.0,27.40580368041992,1.0,12.0,0.0,0.0493834832664526,0.0349839833095723,0.0143994999568802,29.15853440144472,0
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,2.0,1.0,0.0108744977912786,0.0156246682934793,0.0047501705022007,43.68174598380407,0
19841.0,33653.0,440620.0,0.9993401019218888,42031.0,5.0,38491.0,816701.0,4.0,27.40580368041992,1.0,1.0,1.0,0.0049779607209721,0.0159621180247245,0.0109841573037524,220.6557648692636,0
