n_users,n_items,n_inter,sparsity,kg_entities,kg_relations,kg_triples,kg_items,cpu_cores,ram_size,is_gpu,model_name,model_type,real_value,predicted_value,abs_error,percentage_error,class
23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,4.0,27.40581512451172,1.0,19.0,0.0,0.0042534107400712,0.0040902794343798,0.0001631313056913,3.8353057266379,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,19.0,0.0,0.0144698038415728,0.0380193880049436,0.0235495841633708,162.74985080109516,0
23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,4.0,16.0,0.0,2.0,0.0,0.003052179671739,0.0096535576637864,0.0066013779920474,216.2840560525156,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,27.40581512451172,1.0,1.0,0.0,0.0058929369021405,0.0051424950481711,0.0007504418539693,12.73459849360906,0
19841.0,42457.0,900212.0,0.9989313587429705,50665.0,5.0,46827.0,816701.0,4.0,27.40580368041992,1.0,6.0,0.0,0.8817400794597952,0.2141461344677388,0.6675939449920564,75.71323574188246,2
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,37.0,0.0,0.0007219202109157,0.00410285137056,0.0033809311596443,468.3247689320054,0
50000.0,10000.0,7053774.0,0.985892452,175646.0,31.0,521125.0,10601.0,4.0,27.40580368041992,1.0,19.0,0.0,0.0238154082688136,0.1667196749142539,0.1429042666454403,600.0496192734777,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,31.0,0.0,0.0014751778143381,0.0644976073709426,0.0630224295566045,4272.19206688532,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,34.0,1.0,0.0030824563466909,0.0035529048104932,0.0004704484638023,15.26212899356685,0
6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,4.0,16.0,0.0,9.0,0.0,0.0001616928828737,0.0169121925875771,0.0167504997047034,10359.453927101715,0
23679.0,4414.0,1048575.0,0.9899676237184808,0.0,0.0,0.0,0.0,12.0,64.0,1.0,30.0,0.0,0.0003884420283674,0.0007639604120443,0.0003755183836769,96.67295407122948,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,12.0,64.0,1.0,19.0,0.0,0.0006120707966868,0.0026716486854572,0.0020595778887704,336.49340891921906,0
50000.0,10000.0,7053774.0,0.985892452,175646.0,31.0,521125.0,10601.0,4.0,27.40580368041992,1.0,23.0,0.0,0.0612132356047295,0.1661850631440596,0.1049718275393301,171.48550718207696,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,27.40581512451172,1.0,7.0,0.0,0.0092369859367674,0.0072291678547844,0.0020078180819829,21.73672338279706,0
6040.0,3706.0,1000209.0,0.9553163743776872,79347.0,49.0,385923.0,3655.0,12.0,64.0,1.0,17.0,1.0,0.0002121586159683,0.0008163386278352,0.0006041800118669,284.7775043730762,0
22155.0,54458.0,1465871.0,0.9987850390735068,26315.0,16.0,96476.0,11446.0,4.0,16.0,0.0,37.0,0.0,0.0241743645213969,0.076276060215407,0.0521016956940101,215.52457210568886,0
