recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0241,0.0154,0.0144,0.0398,0.0094,0.0042,0.8051,0.0142,253.1258,0.9964,0.0257,0.0,2cf7b7f4-02a8-462f-a7c9-0e1364e45072,AMAZON_BOOKS_60CORE_KG_MKR_DEFAULT_PARAM_1703337172
0.0241,0.0154,0.0144,0.0398,0.0094,0.0042,0.8051,0.0142,253.1258,0.9964,0.0257,0.0,a42abc6f-e64f-4578-8b3a-37fd724cad21,AMAZON_BOOKS_60CORE_KG_MKR_DEFAULT_PARAM_1703771233
